nTasks=5;
nThreads=12;
nCPUs=3;
nCores=12;
rh=[589.8338930978057 558.4797845008477 604.5969543430864 731.7980012966549 718.749621804564 776.6086144382319 664.2920042006673 522.4952396526863 775.326557461066 536.6455456535464 535.3311814265145 553.5207268217866];
rc=[5000.0 5000.0 5000.0];
CK=[
	[1 1 1 1 0 0 0 0 0 0 0 0]
	[0 0 0 0 1 1 1 1 0 0 0 0]
	[0 0 0 0 0 0 0 0 1 1 1 1]
];
TH=[
	[1 1 1 0 0 0 0 0 0 0 0 0]
	[0 0 0 1 1 0 0 0 0 0 0 0]
	[0 0 0 0 0 1 1 1 0 0 0 0]
	[0 0 0 0 0 0 0 0 1 1 0 0]
	[0 0 0 0 0 0 0 0 0 0 1 1]
];
